epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.2222222238779068,3.6089015007019043,0.0,951.4146728515625
1,1.0,0.0544581338763237,0.0,1293.603515625
2,1.0,0.0012150300899520516,0.0,1633.7811279296875
3,1.0,0.014251195825636387,0.0,2207.2451171875
4,1.0,8.928198803914711e-05,0.0,2800.1962890625
5,1.0,5.033093475503847e-05,0.0,3421.568359375
6,1.0,3.5139310057275e-05,0.0,4035.129638671875
7,1.0,2.774869790300727e-05,0.0,4610.95751953125
8,1.0,2.4901099095586687e-05,0.0,5117.3193359375
9,1.0,4.439588883542456e-05,0.0,4625.21435546875
10,1.0,4.967948916601017e-05,0.0,4203.03515625
11,1.0,5.496283120010048e-05,0.0,3836.57958984375
12,1.0,5.955736560281366e-05,0.0,3515.77490234375
13,1.0,6.351619958877563e-05,0.0,3232.8623046875
14,1.0,6.658782513113692e-05,0.0,2981.8798828125
15,1.0,6.845455209258944e-05,0.0,2758.05712890625
